Catalogue number or Accession number,Classification,Storage Method,Field Coll Place Description,Field Coll Place,Field Coll Site,Label recorded latitude,Label recorded longitude ,Field Coll Site interrpretted latitude,Field Coll Site interrpretted longitude,Field Coll Date,Field Coll Person
2007.215.2126,Anagotus/latirostris,Pinned,"Tower Peak Ridge, Takitimu Range, FD - under rocks etc",SL (Southland)/SO (South Island including Stewart Island)/NZ (New Zealand)/Crosby Code,Tower Peak; Southland Land District/New Zealand Land Districts,,,-45.645593,167.799119,16-Feb-91,Peter Malcolm (Peter) Johns
2007.215.2127,Anagotus/latirostris,Pinned,"Tower Peak Ridge, Takitimu Range, FD - under rocks etc",SL (Southland)/SO (South Island including Stewart Island)/NZ (New Zealand)/Crosby Code,Tower Peak; Southland Land District/New Zealand Land Districts,,,-45.645593,167.799119,16-Feb-91,Peter Malcolm (Peter) Johns
2007.215.2128,Anagotus/latirostris,Pinned,"Old Woman Range, CO - under stones around tors",,,,,-45.309669,168.972749,16-Dec-99,Peter Malcolm (Peter) Johns
2007.215.2129,Anagotus/latirostris,Pinned,"Old Woman Range, CO - under stones around tors",,,,,-45.309669,168.972749,16-Dec-99,Peter Malcolm (Peter) Johns
2007.215.2130,Anagotus/latirostris,Pinned,"Old Woman Range, CO - under stones around tors",,,,,-45.309669,168.972749,16-Dec-99,Peter Malcolm (Peter) Johns
2007.215.672,Anagotus/gourlayi,Pinned,"Mount Arthur, NC",NN (Nelson)/SO (South Island including Stewart Island)/NZ (New Zealand)/Crosby Code,Mount Arthur; Nelson Land District/New Zealand Land Districts,,,-41.21,172.68,Jan-68,P.R. (P.R.) Kettle
2007.215.673,Anagotus/gourlayi,Pinned,"Mount Arthur, NC",NN (Nelson)/SO (South Island including Stewart Island)/NZ (New Zealand)/Crosby Code,Mount Arthur; Nelson Land District/New Zealand Land Districts,,,-41.21,172.68,Jan-68,P.R. (P.R.) Kettle
2007.215.674,Anagotus/gourlayi,Pinned,"Baton Saddle, NN",,,,,-41.255452,172.577319,10-Jan-61,James Ian (J Ian) Townsend
2007.215.675,Anagotus/gourlayi,Pinned,"Maud Island Malborough sound, SD, stones in pasture",SD (Marlborough Sounds)/SO (South Island including Stewart Island)/NZ (New Zealand)/Crosby Code,Maud Island; Marlborough Land District/New Zealand Land Districts,,,-41.02,173.9,02 Jun 1990-04 Jun 1990,Peter Malcolm (Peter) Johns
2007.215.676,Anagotus/helmsi,Pinned,"Princhester Stream, Takitimu Mountains, SL, near hut at night",SL (Southland)/SO (South Island including Stewart Island)/NZ (New Zealand)/Crosby Code,Princhester Base Hut; Southland Land District/New Zealand Land Districts,,,-45.59,167.95,01 Dec 2006-05 Dec 2006,Peter Malcolm (Peter) Johns
2007.215.677,Anagotus/helmsi,Pinned,"Owaka, Catlins Rain Forest Park, SL, silver beech, malaise trap",SL (Southland)/SO (South Island including Stewart Island)/NZ (New Zealand)/Crosby Code,Catlins Conservation Park; Southland Land District/New Zealand Land Districts,,,-46.489722,169.06,27 Jan 2002-05 Mar 2002,Dr Mathias (Mathias) Jaschhof
2007.215.678,Anagotus/helmsi,Pinned,"Owaka, Catlins Rain Forest Park, SL, silver beech, malaise trap",SL (Southland)/SO (South Island including Stewart Island)/NZ (New Zealand)/Crosby Code,Catlins Conservation Park; Southland Land District/New Zealand Land Districts,,,-46.489722,169.06,27 Jan 2002-05 Mar 2002,Dr Mathias (Mathias) Jaschhof
