Repository,NZAC_Accession_Number,Specimen_Kind,Quantity,Order,Family,Collection_Name,Taxon_Name,Taxon_Note,NEIL_manuscript_name,Determiner,Determination_Date,Determination_Note,Type_Status,Country,New_Zealand_Area_Code,Locality,NEIL_guess_location,NEIL_guess_coordinates,NEIL_check_w_Rich,Altitude ,Day,Month,Year,2nd date,Collectors,Collector_No,Method,Habitat,Microhabitat,Collection_Event_Note,Verbatim_Geocoordinates ,Sex,Stages,copy to WORD,NEIL_Determination_INFO,NEIL_Drawer_INFO,Neil_Specimen_Note,Neil_Other
NZAC,NZAC04128360,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_k,triregius n.sp,G Kuschel,1981,,,New Zealand,TH,"Three Kings Islands, Great Island","Three Kings Islands, Great Island","-34.15959, 172.1393",,,1,11,1970,,G Kuschel,,,,,NZ.Ent.Div.Exp.,,,Adult,,Anagotus triregius,triregius n. sp.,,
NZAC,NZAC04128359,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_k,triregius n.sp,,,,,New Zealand,TH,"Three Kings Islands, Great Island","Three Kings Islands, Great Island","-34.15959, 172.1393",,,1,11,1970,,G Kuschel,,,,,NZ.Ent.Div.Exp.,,,Adult,,,triregius n. sp.,,
NZAC,NZAC04128358,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_k,triregius n.sp,,,,,New Zealand,TH,"Three Kings Islands, Great Island","Three Kings Islands, Great Island","-34.15959, 172.1393",,,1,11,1970,,G Kuschel,,,,,NZ.Ent.Div.Exp.,,,Adult,,,triregius n. sp.,,
NZAC,NZAC04128357,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_k,triregius n.sp,,,,,New Zealand,TH,"Three Kings Islands, Great Island","Three Kings Islands, Great Island","-34.15959, 172.1393",,,1,11,1970,,G Kuschel,,,,,NZ.Ent.Div.Exp.,,,Adult,,,triregius n. sp.,,
NZAC,NZAC04128356,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_k,triregius n.sp,,,,,New Zealand,TH,"Three Kings Islands, Great Island","Three Kings Islands, Great Island","-34.15959, 172.1393",,,1,11,1970,,G Kuschel,,,,,NZ.Ent.Div.Exp.,,,Adult,,,triregius n. sp.,,
NZAC,NZAC04128355,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_k,triregius n.sp,,,,,New Zealand,TH,"Three Kings Islands, Great Island","Three Kings Islands, Great Island","-34.15959, 172.1393",,,1,11,1970,,G Kuschel,,,,,NZ.Ent.Div.Exp.,,,Adult,,,triregius n. sp.,,
NZAC,NZAC04128354,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_k,triregius n.sp,,,,,New Zealand,TH,"Three Kings Islands, Great Island","Three Kings Islands, Great Island","-34.15959, 172.1393",,,1,11,1970,,G Kuschel,,,,,NZ.Ent.Div.Exp.,,,Adult,,,triregius n. sp.,,
NZAC,NZAC04128353,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_k,triregius n.sp,,,,,New Zealand,TH,"Three Kings Islands, Great Island","Three Kings Islands, Great Island","-34.15959, 172.1393",,,1,11,1970,,G Kuschel,,,,,NZ.Ent.Div.Exp.,,,Adult,,,triregius n. sp.,,
NZAC,NZAC04128352,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_k,triregius n.sp,,,,,New Zealand,TH,"Three Kings Islands, Great Island","Three Kings Islands, Great Island","-34.15959, 172.1393",,,1,11,1970,,G Kuschel,,,,,NZ.Ent.Div.Exp.,,,Adult,,,triregius n. sp.,,
NZAC,NZAC04128351,Pinned,1,Coleoptera,Curculionidae,,Anagotus,species_k,triregius n.sp,,,,,New Zealand,TH,"Three Kings Islands, Great Island","Three Kings Islands, Great Island","-34.15959, 172.1393",,,1,11,1970,,G Kuschel,,,,,NZ.Ent.Div.Exp.,,,Adult,,,triregius n. sp.,,
