Accession number ,Genus,Species,Subspecies,Author,Collector,Collection date 1,Collection date 2,Collection method,Habitat,Label,Location,Region Code,Latitude (dd.ddddd),Longitude (dd.ddddd),Altitude (metres),Label map reference,Determiner,Date determined,Type status,Sex,Remark
LUNZ00013479,Anagotus,oconnori,,"(Broun, 1910)",ESG,15-Feb-31,,,,,Balloon Hut,NN,-41.169222,172.62208,,,,,,,"Label:
Phaedropholus o'connori Broun Var."
LUNZ00013480,Anagotus,oconnori,,"(Broun, 1910)",Daniel Jack,3-Mar-04,,,"Bush edge, M26",2455539 6024855,"SW from Mt. Gouland, Gouland Range",NN,-40.953902,172.378149,1300m,,,,,,
LUNZ00013480,Anagotus,oconnori,,"(Broun, 1910)",Daniel Jack,3-Mar-04,,,"Subalpine scrub on range between Mt. Gouland & Amohia Peak, M26",2453681 6024199,"SW from Mt. Gouland, Gouland Range",NN,-40.9749,172.3633,1360m,,,,,,
LUNZ00013482,Anagotus,latirostris,,"(Broun, 1904)","R Emberson, P. Syrett",15-Jan-04,,,Under rocks by tors in fell field,,"The Herrons Station, Old Man Range",CO,-45.20381,169.223099,1590m,E2213483 N5526216,,,,,
LUNZ00013483,Anagotus,latirostris,,"(Broun, 1904)","R Emberson, P. Syrett",15-Jan-04,,,Under rocks by tors in fell field,,"The Herrons Station, Old Man Range",CO,-45.20381,169.223099,1590m,E2213483 N5526216,,,,,
LUNZ00013486,Anagotus,latirostris,,"(Broun, 1904)","R Emberson, P. Syrett",15-Jan-04,,,Under rocks by tors in fell field,,"The Herrons Station, Old Man Range",CO,-45.20381,169.223099,1590m,E2213483 N5526216,,,,,
LUNZ00013485,Anagotus,latirostris,,"(Broun, 1904)","R Emberson, P. Syrett",15-Jan-04,,,Under rocks by tors in fell field,,"The Herrons Station, Old Man Range",CO,-45.20381,169.223099,1590m,E2213483 N5526216,,,,,
LUNZ00013484,Anagotus,latirostris,,"(Broun, 1904)","R Emberson, P. Syrett",15-Jan-04,,,Under rocks by tors in fell field,,"The Herrons Station, Old Man Range",CO,-45.20381,169.223099,1590m,E2213483 N5526216,,,,,
LUNZ00013487,Anagotus,latirostris,,"(Broun, 1904)","R Emberson, P. Syrett",18-Jan-04,,,Under rocks around tors,,"Carrick Station, Old Woman Range",CO,-45.251357,169.059076,1640m,E2199961 N5545579,,,,,
LUNZ00013488,Anagotus,latirostris,,"(Broun, 1904)","R Emberson, P. Syrett",18-Jan-04,,,Under rocks around tors,,"Carrick Station, Old Woman Range",CO,-45.251357,169.059076,1640m,E2199961 N5545579,,,,,
LUNZ00013489,Anagotus,latirostris,,"(Broun, 1904)","R Emberson, P. Syrett",18-Jan-04,,,Under rocks around tors,,"Carrick Station, Old Woman Range",CO,-45.251357,169.059076,1640m,E2199961 N5545579,,,,,
LUNZ00013490,Anagotus,latirostris,,"(Broun, 1904)",J. W. M. Marris,23-Apr-09,,,Under stones in alpine sward,,"Lake Alta, The Remarkables",OL,-45.062396,168.814663,1757m,,,,,,
LUNZ00013491,Anagotus,latirostris,,"(Broun, 1904)",J. W. M. Marris,23-Apr-09,,,Under stones in alpine sward,,"Lake Alta, The Remarkables",OL,-45.062396,168.814663,1757m,,,,,,
LUNZ00013492,Anagotus,helmsi,,"Sharp, 1882",,,,,,,,,,,,,,,,,DOC Nelson Collection - no locality or collection details
LUNZ00013493,Anagotus,indet.,,,M. Bowie,30-Dec-07,,,On Aciphylla at night,,"Blue Cliffs Station, Weiner Block",MC,-44.552888,170.937824,,,E. Fountain,2008,,,
LUNZ00013494,Anagotus,indet.,,,"R. M. Emberson, P. Syrett",16-Jan-07,,,Under rock,,Mount Dalgety Station,MK,-44.273949,170.609951,940m,"E2320845, N5655166",,,,,
LUNZ00013495,Anagotus,indet.,,,M. H. Bowie,16-Jan-09,,,ex Aciphylla,,"Mount Studholme Station, Hunters Hills",SC,-44.651,170.917,,,Det. D. M. LaMont,2023,,,Determined as ?lewisi.
LUNZ00013496,Anagotus,indet.,,,"R. M. Emberson, P. Syrett",2-Mar-05,,,On rock beside river,,"Blue Mountain Station, Waihi River",SC,-43.960414,171.082106,560m,"E2353935, N5692641",,,,,
LUNZ00013497,Anagotus,indet.,,,M. H. Bowie,2-Aug-15,,,ex Aciphylla,,"Mount Grand Station, Lake H?wea",CO,-44.633,169.343,,"44.633S, 169.343E",Det. D. M. LaMont,2023,,,Determined as ?Anagotus sp.
LUNZ00013498,Anagotus,indet.,,,M. H. Bowie,22-Mar-16,,,,,"Mount Grand Station, Lake H?wea",CO,-44.633,169.343,,"44.633S, 169.343E",Det. D. M. LaMont,2023,,,
LUNZ00013499,Anagotus,indet.,,,M. H. Bowie,22-Mar-16,,,,,"Mount Grand Station, Lake H?wea",CO,-44.633,169.343,,"44.633S, 169.343E",Det. D. M. LaMont,2023,,,
LUNZ00013500,Anagotus,indet.,,,M. H. Bowie,22-Mar-16,,,,,"Mount Grand Station, Lake H?wea",CO,-44.633,169.343,,"44.633S, 169.343E",Det. D. M. LaMont,2023,,,
LUNZ00013501,Anagotus,indet.,,,M. H. Bowie,26-Dec-12,,,ex Aciphylla,,"Mount Grand Station, Lake H?wea",CO,-44.633,169.343,,,,,,,
LUNZ00013502,Anagotus,indet.,,,G. G. Hore,Oct-40,,,,,Mount Arthur District,,-41.208493,172.701473,,,,,,,Phoxoteles ???
LUNZ00013503,Anagotus,indet.,,,S. Courtney,23-Jan-96,,,,,"Mount Bell, above Granity Pass",NN,-41.53003,172.56275,1500 m,M28 735 640,,,,,
LUNZ00013504,Anagotus,indet.,,,R. M. Emberson,9-Feb-86,12-Feb-86,,Pitfall trap,,"Great Moss Swamp, Hovell Hut",CO,-45.533201,169.939094,820 m,,,,,,
LUNZ00013505,Anagotus,indet.,,,T. Shaw,Jan-97,,,,,"Mount Owen, Cullifords Hill",NN,-41.5087,172.54387,,,,,,,
LUNZ00013506,Anagotus,indet.,,,S. Courtney,21-Feb-07,,,On area of flat ridge top with tarns,,"Kahurangi National Park, Grange Ridge, 1 km west of Lake Rotopai",NN,-41.165765,172.378578,,M27 24457 60079,,,,,
LUNZ00013507,Anagotus,indet.,,,D. Jack,17-Mar-03,,,,,"Douglass Range, Drunken Sailors area",NN,-40.97616,172.55826,1500 m,,,,,,
LUNZ00013508,Anagotus,indet.,,,"M. H. Bowie, S. J. Rowland",8-Dec-09,19-Jan-10,,Pitfall traps in Aciphylla/tussock grassland,,Hakataramea Pass,MK,-44.3528,170.615067,688 m,S44 21.168 E170 36.904,,,,,
LUNZ00013509,Anagotus,indet.,,,BIOBLITZ coll.,3-Mar-12,4-Mar-12,,Manuka wetland,,Denniston Plateau,NN,-41.766017,171.773683,630-700 m,41 45.961'S 171 46.421'E,,,,,
LUNZ00013510,Anagotus,indet.,,,M. Aviss,3-Dec-01,5-Dec-01,,,,"Brothers Islands, South (Big) Brother",SD,-41.11445694,174.4325161,,,,,,,
LUNZ00013511,Anagotus,indet.,,,I. R. Millar,15-Aug-05,,,,,"Stockton Plateau, Mt Augustus",NN,-41.676766,171.857028,920 m,,,,,,
