Accession number ,SpeciesCode,GenusName,SpeciesName,"Species
Author&Date",location,AreaCode,Latitude,Longitude,CollectedBy,DateCollected1,DateCollected2,Site/altitude,"Collection
Method","Source/
Habitat/
host",Stage/sex,DeterminedBy,DateDetermined,StorageType,TypeStatus
LUNZ00001264,Colanagsp01,Anagotus,indet.,,Lake Sylvester,NN,-41.10673,172.63412,J.W. Early ,9/02/1985,,1341 m,,In litter under Astelia,,,,Pinned,
LUNZ00001265,Colanagsp01,Anagotus,indet.,,Lake Sylvester,NN,-41.10673,172.63412,J.W. Early ,9/02/1985,,1341 m,,In litter under Astelia,,,,Pinned,
LUNZ00001266,Colanagsp01,Anagotus,indet.,,Lake Sylvester,NN,-41.10673,172.63412,J.W. Early ,9/02/1985,,1341 m,,In litter under Astelia,,,,Pinned,
LUNZ00001252,Colanagsp01,Anagotus,indet.,,"Lake Sylvester, Bushline Hut",NN,-41.10661,172.63978,M.H. Bowie,9/02/1985,,1300 m,,,,,,Pinned,
LUNZ00001251,Colanagsp01,Anagotus,indet.,,"Lake Sylvester, Bushline Hut",NN,-41.10661,172.63978,M.H. Bowie,9/02/1985,,1300 m,,,,,,Pinned,
LUNZ00001261,Colanagsp01,Anagotus,indet.,,"Lake Sylvester, Bushline Hut",NN,-41.10661,172.63978,M.H. Bowie,9/02/1985,,1300 m,,,,,,Pinned,
LUNZ00001262,Colanagsp01,Anagotus,indet.,,Lake Sylvester,NN,-41.10673,172.63412,J.W. Early ,8/02/1985,,,,On Astelia at night ,,,,Pinned,
LUNZ00001267,Colanagsp01,Anagotus,indet.,,Lake Sylvester,NN,-41.10673,172.63412,J.W. Early ,8/02/1985,,,,On Astelia at night ,,,,Pinned,
LUNZ00001256,Colanagsp01,Anagotus,indet.,,Lake Sylvester,NN,-41.10673,172.63412,J.W. Early ,9/02/1985,,1341 m,,In litter under Astelia,,,,Pinned,
LUNZ00001260,Colanagsp01,Anagotus,indet.,,"Paparoa Range, 2 km north of Croesus Knob",BR,-42.27308,171.37469,J.W. Early ,20/01/1982,,,,Under rocks,,,,Pinned,
LUNZ00001259,Colanagsp01,Anagotus,indet.,,"Paparoa Range, Croesus Knob",BR,-42.28974,171.37807,R.M. Emberson,19/01/1982,,1200 m ,,Under rock,,,,"On card, pinned",
LUNZ00001258,Colanagsp01,Anagotus,indet.,,"Paparoa Range, Croesus Knob",BR,-42.28974,171.37807,R.M. Emberson,19/01/1982,,1200 m ,,Under rock,,,,"On card, pinned",
LUNZ00001255,Colanagsp01,Anagotus,indet.,,Lake Sylvester,NN,-41.10673,172.63412,R.M. Emberson,9/02/1985,,,,Base of Astelia,,,,Pinned,
LUNZ00001254,Colanagsp01,Anagotus,indet. 'lewisi (Broun)' group,,"East of Lake Hawea, near Creek",MK,-44.56668,169.37164,C.J. Vink,10/12/2002,,,,Under rock,,,,Pinned,
LUNZ00001253,Colanagsp01,Anagotus,indet. 'lewisi (Broun)' group,,"East of Lake Hawea, near Creek",MK,-44.56668,169.37164,C.J. Vink,10/12/2002,,,,Under rock,,,,Pinned,
LUNZ00001270,Colanagsp01,Anagotus,indet.,,Mataketake Range,WD,-43.85474,169.21645,W. Chinn,1/01/2003,,1200 m ,,On tussock / Raoulia,,,,Pinned,
LUNZ00001268,Colanagsp01,Anagotus,indet.,,Kelly Range,WD,-42.80547,171.51708,P. Syrett,14/01/2003,,1300 m,,,,,,Pinned,
LUNZ00001276,Colanagsp01,Anagotus,indet.,,Alex Knob,WD,-43.42611,170.15994,J.W. Early ,4/12/1982,,1250 m,,Cushion plant,,,,Pinned,
LUNZ00001269,Colanagsp01,Anagotus,indet.,,Mount Peel ,SC,-43.84402,171.16524,R.M. Emberson,8/12/1996,,1500 m,,,,,,Pinned,
LUNZ00001390,Colanagsp01,Anagotus,indet.,,Top of Mount Obelisk,CO,-45.31355,169.20577,"P. Syrett, R.M. Emberson",24/12/1997,,1600 m,,Under rocks,,,,Pinned,
LUNZ00001389,Colanagsp01,Anagotus,indet.,,Top of Mount Obelisk,CO,-45.31355,169.20577,"P. Syrett, R.M. Emberson",24/12/1997,,1600 m,,Under rocks,,,,Pinned,
LUNZ00001388,Colanagsp01,Anagotus,indet.,,Top of Mount Obelisk,CO,-45.31355,169.20577,"P. Syrett, R.M. Emberson",24/12/1997,,1600 m,,Under rocks,,,,Pinned,
LUNZ00001387,Colanagsp01,Anagotus,indet.,,Top of Mount Obelisk,CO,-45.31355,169.20577,"P. Syrett, R.M. Emberson",24/12/1997,,1600 m,,Under rocks,,,,Pinned,
LUNZ00001386,Colanagsp01,Anagotus,indet.,,Top of Mount Obelisk,CO,-45.31355,169.20577,"P. Syrett, R.M. Emberson",24/12/1997,,1600 m,,Under rocks,,,,Pinned,
LUNZ00001385,Colanagsp01,Anagotus,indet.,,Top of Mount Obelisk,CO,-45.31355,169.20577,"P. Syrett, R.M. Emberson",24/12/1997,,1600 m,,Under rocks,,,,Pinned,
LUNZ00001384,Colanagsp01,Anagotus,indet.,,Top of Mount Obelisk,CO,-45.31355,169.20577,"P. Syrett, R.M. Emberson",24/12/1997,,1600 m,,Under rocks,,,,Pinned,
LUNZ00001383,Colanagsp01,Anagotus,indet.,,Top of Mount Obelisk,CO,-45.31355,169.20577,"P. Syrett, R.M. Emberson",24/12/1997,,1600 m,,Under rocks,,,,Pinned,
LUNZ00001035,Colanagsp01,Anagotus,indet.,,"Cobb Reservoir, Lake Sylvester",NN,-41.10673,172.63412,S.M. Pawson,3/02/2001,,,,Under Astelia,,,,Pinned,
LUNZ00001036,Colanagsp01,Anagotus,indet.,,Deer Spur,SC,-43.88,171.23,C.J. Vink,18/11/2001,,856 m,,On track,,,,Pinned,
LUNZ00001077,Colanagsp01,Anagotus,indet.,,Near Lake Sweeney,WD,-43.78209,169.41501,B. Brown,21/10/2002,,,,In sub-alpine tussock zone,,,,Pinned,
LUNZ00001076,Colanagsp01,Anagotus,indet.,,Maungatua,DN,-45.88044,170.1119,S.M. Pawson,14/12/2000,11/01/2001,,Pitfall,,,,,Pinned,
LUNZ00001075,Colanagsp01,Anagotus,indet.,,Haast Range,WD,-44.129,168.7698,B. Brown,27/01/2002,,,,,,,,Pinned,
LUNZ00001185,Colanagsp01,Anagotus,indet.,,"Otago, Top of Old Man Range",CO,-45.33154,169.2076,R.M. Emberson,28/02/1973,,,,,,,,Pinned,
LUNZ00001184,Colanagsp01,Anagotus,indet.,,"Otago, Top of Old Man Range",CO,-45.33154,169.2076,R.M. Emberson,28/02/1973,,,,,,,,Pinned,
LUNZ00001366,Colanagfair,Anagotus,fairburni,(Brookes),"Three Kings Islands, South West Island",TH,-34.17589,172.072,"F.J. Brook, P. Aderson",29/11/1997, , , ,On Phormium at night, ,J.W.M. Marris,,Pinned,
LUNZ00001367,Colanagfair,Anagotus,fairburni,(Brookes),"Three Kings Islands, South West Island",TH,-34.17589,172.072,"F.J. Brook, P. Aderson",29/11/1997, , , ,On Phormium at night, ,J.W.M. Marris,,Pinned,
LUNZ00001368,Colanagfair,Anagotus,fairburni,(Brookes),"Three Kings Islands, South West Island",TH,-34.17589,172.072,"F.J. Brook, P. Aderson",29/11/1997, , , ,On Phormium at night, ,J.W.M. Marris,,Pinned,
LUNZ00001369,Colanagfair,Anagotus,fairburni,(Brookes),"Three Kings Islands, Great Island, Tasman Stream mouth",TH,-34.16321,172.14301,M.J. Thorsen ,10/04/1999, , , ,Under rock, ,J.W.M. Marris,,Pinned,
LUNZ00001290,Colanagturb,Anagotus,turbotti,(Spiller),"Poor Knights Island, Aorangi, Urupa Point",ND,-35.47348,174.73669,G.M. Wragg,20/11/1982,,,,One year old bellbird nest in Myrsine bush,,,,Pinned,
LUNZ00001274,Colanaghall,Anagotus,halli,Sharp,Mount Hutt Range,SC,-43.49527,171.53657,,3/03/1968,,1524 m,,Ex tussock on bare exposed patch,,G. Kuschel,1964,Pinned,
LUNZ00001273,Colanaghelm,Anagotus,helmsi,Sharp,"Bullock Creek, Punakaiki Scenic Reserve ",BR,-42.10128,171.34,G.R. Champness,13/01/1983,24/01/1983,20 m,Malaise trap,,,,,Pinned,
LUNZ00001271,Colanaghelm,Anagotus,helmsi,Sharp,"Pororari River, Punakaiki",BR,-42.10785,171.3401,G.R. Champness,9/01/1985,5/02/1985,30 m,Malaise trap,,,,,Pinned,
LUNZ00001289,Colanaghelm,Anagotus,helmsi,Sharp,"Pororari River, Punakaiki",BR,-42.10785,171.3401,G.R. Champness,18/02/1985,11/03/1985,30 m,Malaise trap,,,,,Pinned,
LUNZ00001300,Colanaghelm,Anagotus,helmsi,Sharp,"Pororari River, Punakaiki",BR,-42.10785,171.3401,G.R. Champness,18/02/1985,11/03/1985,30 m,Malaise trap,,,,,Pinned,
LUNZ00001310,Colanaghelm,Anagotus,helmsi,Sharp,"Pororari River, Punakaiki",BR,-42.10785,171.3401,G.R. Champness,28/10/1984,17/11/1984,30 m,Malaise trap,,,,,Pinned,
LUNZ00001299,Colanaghelm,Anagotus,helmsi,Sharp,"Pororari River, Punakaiki",BR,-42.10785,171.3401,G.R. Champness,19/08/1984,2/09/1984,30 m,Malaise trap,,,,,Pinned,
LUNZ00001320,Colanaghelm,Anagotus,helmsi,Sharp,"Pororari River, Punakaiki",BR,-42.10785,171.3401,G.R. Champness,1/06/1984,5/08/1984,30 m,Malaise trap,,,,,Pinned,
LUNZ00001309,Colanaghelm,Anagotus,helmsi,Sharp,"Bullock Creek, Punakaiki Scenic Reserve ",BR,-43.49527,171.53657,G.R. Champness,15/08/1983,23/10/1983,20 m,Malaise trap,,,,,Pinned,
LUNZ00001319,Colanaghelm,Anagotus,helmsi,Sharp,Hochstetter State Forest,BR,-42.40036,171.58062,,1980,,,,"Dead, wet beech",,,,Pinned,
LUNZ00001318,Colanaghelm,Anagotus,helmsi,Sharp,Hochstetter State Forest,BR,-42.40036,171.58062,,1980,,,,"Dead, wet beech",,,,Pinned,
LUNZ00001317,Colanaghelm,Anagotus,helmsi,Sharp,Hochstetter State Forest,BR,-42.40036,171.58062,,1980,,,,"Dead, wet beech",,,,Pinned,
LUNZ00001288,Colanaghelm,Anagotus,helmsi,Sharp,Hochstetter State Forest,BR,-42.40036,171.58062,,1980,,,,"Dead, wet beech",,,,Pinned,
LUNZ00001298,Colanaghelm,Anagotus,helmsi,Sharp,"Westland National Park, adjacent Canavans Knob",WD,43.3782,170.16737,A.B. Miller,12/04/1982,26/04/1982,140 m,Malaise trap,,,,,Pinned,
LUNZ00001308,Colanaghelm,Anagotus,helmsi,Sharp,"Westland National Park, adjacent Canavans Knob",WD,43.3782,170.16737,A.B. Miller,28/03/1982,10/04/1982,140 m,Malaise trap,,,,,Pinned,
LUNZ00001287,Colanaghelm,Anagotus,helmsi,Sharp,"Westland National Park, adjacent Canavans Knob",WD,43.3782,170.16737,A.B. Miller,28/03/1982,10/04/1982,140 m,Malaise trap,,,,,Pinned,
LUNZ00001286,Colanaghelm,Anagotus,helmsi,Sharp,"Westland National Park, adjacent Canavans Knob",WD,43.3782,170.16737,A.B. Miller,28/03/1982,10/04/1982,140 m,Malaise trap,,,,,Pinned,
LUNZ00001297,Colanaghelm,Anagotus,helmsi,Sharp,"Murchison Mountains, lower East McKenzie Burn",FD,-45.2706,167.44819,"C.A. Muir, R.M. Emberson",5/10/1983,8/12/1983,945 m,Malaise trap,,,,,Pinned,
LUNZ00001272,Colanaghelm,Anagotus,helmsi,Sharp,"Pororari River, Punakaiki",BR,-42.10785,171.3401,G.R. Champness,17/11/1984,8/12/1984,30 m,Malaise trap,,,,,Pinned,
LUNZ00001284,Colanaghelm,Anagotus,helmsi,Sharp,Spey River,FD,-45.58063,167.16002,J.B. Waller,2/02/1983,,450 m ,,On trees at night ,,,,Pinned,
LUNZ00001325,Colanaglati,Anagotus,latirostris,(Broun),"The Remarkables, Rastus Burn",OL,-45.05529,168.80241,J.W.M. Marris,6/02/1986,,1950 m,,Under rock,,,,Pinned,
LUNZ00001324,Colanaglati,Anagotus,latirostris,(Broun),"The Remarkables, Rastus Burn",OL,-45.05529,168.80241,J.W.M. Marris,6/02/1986,,1950 m,,Under rock,,,,Pinned,
LUNZ00001323,Colanaglati,Anagotus,latirostris,(Broun),"The Remarkables, Rastus Burn",OL,-45.05529,168.80241,S.P. Worner,6/02/1986,,1950 m,,Under stones,,,,Pinned,
LUNZ00001322,Colanaglati,Anagotus,latirostris,(Broun),"The Remarkables, Rastus Burn",OL,-45.05529,168.80241,S.P. Worner,6/02/1986,,1950 m,,Under stones,,,,Pinned,
LUNZ00001321,Colanaglati,Anagotus,latirostris,(Broun),"The Remarkables, Rastus Burn",OL,-45.05529,168.80241,S.P. Worner,6/02/1986,,1950 m,,Under stones,,,,Pinned,
LUNZ00001350,Colanaglati,Anagotus,latirostris,(Broun),"The Remarkables, Rastus Burn",OL,-45.05529,168.80241,S.P. Worner,6/02/1986,,1950 m,,Under stones,,,,Pinned,
LUNZ00001349,Colanaglati,Anagotus,latirostris,(Broun),"The Remarkables, Rastus Burn",OL,-45.05529,168.80241,S.P. Worner,6/02/1986,,1680 m,,Under stones,,,,Pinned,
LUNZ00001348,Colanaglati,Anagotus,latirostris,(Broun),"The Remarkables, Rastus Burn",OL,-45.05529,168.80241,J.W. Early ,6/02/1986,,1950 m,,Under rock,,,,Pinned,
LUNZ00001347,Colanaglati,Anagotus,latirostris,(Broun),"The Remarkables, Rastus Burn",OL,-45.05529,168.80241,J.W. Early ,6/02/1986,,1950 m,,Under rock,,,,Pinned,
LUNZ00001346,Colanaglati,Anagotus,latirostris,(Broun),"The Remarkables, Rastus Burn",OL,-45.05529,168.80241,J.W. Early ,6/02/1986,,1950 m,,Under rock,,,,Pinned,
LUNZ00001345,Colanaglati,Anagotus,latirostris,(Broun),"The Remarkables, Rastus Burn",OL,-45.053,168.80385,J.W. Early ,6/02/1986,,1830 m,,Under rock,,,,Pinned,
LUNZ00001344,Colanaglati,Anagotus,latirostris,(Broun),"The Remarkables, Rastus Burn",OL,-45.05529,168.80241,M.B. Bowie,6/02/1986,,1950 m,,Under rock,,,,Pinned,
LUNZ00001343,Colanaglati,Anagotus,latirostris,(Broun),"The Remarkables, Rastus Burn",OL,-45.05529,168.80241,M.B. Bowie,6/02/1986,,1950 m,,Under rock,,,,Pinned,
LUNZ00001342,Colanaglati,Anagotus,latirostris,(Broun),"The Remarkables, Rastus Burn",OL,-45.05529,168.80241,M.B. Bowie,6/02/1986,,1950 m,,Under rock,,,,Pinned,
LUNZ00001341,Colanaglati,Anagotus,latirostris,(Broun),"The Remarkables, Rastus Burn",OL,-45.05529,168.80241,M.B. Bowie,6/02/1986,,1950 m,,Under rock,,,,Pinned,
LUNZ00001340,Colanaglati,Anagotus,latirostris,(Broun),"The Remarkables, Rastus Burn",OL,-45.05529,168.80241,R.R. Scott,6/02/1986,,1950 m,,Under rock,,,,Pinned,
LUNZ00001339,Colanaglati,Anagotus,latirostris,(Broun),"The Remarkables, Rastus Burn",OL,-45.04479,168.82497,R.M. Emberson,6/02/1986,,1890 m,,,,,,Pinned,
LUNZ00001338,Colanaglati,Anagotus,latirostris,(Broun),"The Remarkables, Rastus Burn",OL,-45.04479,168.82497,R.M. Emberson,6/02/1986,,1890 m,,,,,,Pinned,
LUNZ00001337,Colanaglati,Anagotus,latirostris,(Broun),"Ben Lomond, Queenstown",OL,-45.00638,168.61659,"P. Syrett, R.M. Emberson ",11/01/1992,,1750 m,,Under rock,,,,Pinned,
LUNZ00001336,Colanaglati,Anagotus,latirostris,(Broun),"Ben Lomond, Queenstown",OL,-45.00638,168.61659,"P. Syrett, R.M. Emberson ",11/01/1992,,1750 m,,Under rock,,,,Pinned,
LUNZ00001335,Colanaglati,Anagotus,latirostris,(Broun),Obelisk,CO,-45.31875,169.20345,M.H. Bowie,7/02/1986,,1680 m,,,,R.C. Craw ,1987,Pinned,
LUNZ00001334,Colanaglati,Anagotus,latirostris,(Broun),Obelisk,CO,-45.31875,169.20345,R.R. Scott,7/02/1986,,1680 m,,Under rock,,,,Pinned,
LUNZ00001333,Colanaglati,Anagotus,latirostris,(Broun),Obelisk,CO,-45.31875,169.20345,"R.M. Emberson, J.W. Early",7/02/1986,,1680 m,,On mat plant at night,,,,Pinned,
LUNZ00001332,Colanaglati,Anagotus,latirostris,(Broun),Obelisk,CO,-45.31875,169.20345,"R.M. Emberson, J.W. Early",7/02/1986,,1680 m,,On mat plant at night,,,,Pinned,
LUNZ00001331,Colanaglati,Anagotus,latirostris,(Broun),Obelisk,CO,-45.31875,169.20345,J.W.M. Marris,7/02/1986,,1680 m,,Under rock,,,,Pinned,
LUNZ00001370,Colanaglati,Anagotus,latirostris,(Broun),Obelisk,CO,-45.31875,169.20345,S.P. Worner,7/02/1986,,1680 m,,Cushion plant,,,,Pinned,
LUNZ00001275,Colanaglati,Anagotus,latirostris,(Broun),"The Remarkables, Rastus Burn",CO,-45.05529,168.80241,J.W.M. Marris,11/05/1999,,2000 m,,Under rocks,,,,Pinned,
LUNZ00001391,Colanaglati,Anagotus,latirostris,(Broun),Temple Peak,CO,-44.79732,168.48491,C.A. McGuinness,27/02/2003,,1614 m,,Under slab of schist,,,,Pinned,
LUNZ00001392,Colanaglati,Anagotus,latirostris,(Broun),Temple Peak,CO,-44.79732,168.48491,C.A. McGuinness,27/02/2003,,1614 m,,Under slab of schist,,,,Pinned,
LUNZ00001360,Colanagcari,Anagotus,carinirostris,(Marshall),"Fox Glacier, Chancellor Shelf",WD,-43.50187,170.10362,H.M. Harman,13/12/1984,,1220 m,,Ex tussock,,R.C. Craw ,1985,Pinned,
LUNZ00001359,Colanagcari,Anagotus,carinirostris,(Marshall),"Fox Glacier, Chancellor Shelf",WD,-43.5019,170.1045,"R.M. Emberson, P. Syrett",15/12/1984,,1310 m,, ,,,,Pinned,
LUNZ00001358,Colanagcari,Anagotus,carinirostris,(Marshall),Castle Rocks Valley,WD,-43.45457,170.16733,R.M. Emberson,16/01/1986,,1160 m,,On Astelia  ,,,,Pinned,
LUNZ00001357,Colanagcari,Anagotus,carinirostris,(Marshall),Castle Rocks Valley,WD,-43.45457,170.16733,J.W. Early ,16/01/1986,,1160 m,,On Astelia  ,,,,Pinned,
LUNZ00001356,Colanagcari,Anagotus,carinirostris,(Marshall),Castle Rocks Valley,WD,-43.45457,170.16733,J.W. Early ,16/01/1986,,1160 m,,On Astelia  ,,,,Pinned,
LUNZ00001355,Colanagcari,Anagotus,carinirostris,(Marshall),Castle Rocks Valley,WD,-43.45457,170.16733,J.W. Early ,16/01/1986,,1160 m,,On Astelia  ,,,,Pinned,
LUNZ00001354,Colanagcari,Anagotus,carinirostris,(Marshall),Castle Rocks Valley,WD,-43.45457,170.16733,C.A. Muir,16/01/1986,,1160 m,,Celmisia,,,,Pinned,
LUNZ00001353,Colanagcari,Anagotus,carinirostris,(Marshall),Castle Rocks Valley,WD,-43.45457,170.16733,C.A. Muir,16/01/1986,,1160 m,,Celmisia,,,,Pinned,
LUNZ00001352,Colanagcari,Anagotus,carinirostris,(Marshall),Castle Rocks Hut,WD,-43.45322,170.16714,J.W. Early ,14/01/1986,16/01/1986,1220 m,Yellow pan trap,Sub-alpine tussock herbfield,,,,Pinned,
LUNZ00001351,Colanagcari,Anagotus,carinirostris,(Marshall),"Fox Glacier, Chancellor Shelf",WD,-43.5019,170.1045,"R.M. Emberson, P. Syrett",15/12/1984,,1310 m,,Under rock,,,,"On card, pinned",
LUNZ00001380,Colanagcari,Anagotus,carinirostris,(Marshall),"Paparoa Range, Croesus Knob",BR,-42.28862,171.38162,"R.M. Emberson, P. Syrett",19/01/1982,,1130 m,,Base of Aciphylla,,,,Pinned,
LUNZ00001374,Colanagcari,Anagotus,carinirostris,(Marshall),"Paparoa Range, Croesus Knob",BR,-42.28862,171.38162,"R.M. Emberson, P. Syrett",19/01/1982,,1130 m,,Base of Aciphylla,,,,Pinned,
LUNZ00001375,Colanagcari,Anagotus,carinirostris,(Marshall),"Paparoa Range, Croesus Knob",BR,-42.28974,171.37807,R.M. Emberson,19/01/1982,,1200 m ,,Under rock,,,,"On card, pinned",
LUNZ00001376,Colanagcari,Anagotus,carinirostris,(Marshall),"Victoria Range, Rahu River, Right hand branch",BR,-42.28978,172.12589,"P. Syrett, R.M. Emberson",16/11/1985,,1350 m,,Under rock in intermittent stream,,,,Pinned,
LUNZ00001377,Colanagcari,Anagotus,carinirostris,(Marshall),Brunner Range,BR,-41.95959,172.04919,B. Brown,5/02/1995,,1280 m,,On Celmisia armstrongii,,,,Pinned,
LUNZ00001378,Colanagcari,Anagotus,carinirostris,(Marshall),Brunner Range,BR,-41.95959,172.04919,B. Brown,5/02/1995,,1280 m,,On Celmisia armstrongii,,,,Pinned,
LUNZ00001379,Colanagcari,Anagotus,carinirostris,(Marshall),Brunner Range,BR,-41.95959,172.04919,B. Brown,5/02/1995,,1280 m,,On Celmisia armstrongii,,,,Pinned,
LUNZ00001381,Colanagcari,Anagotus,carinirostris,(Marshall),Brunner Range,BR,-41.95959,172.04919,B. Brown,5/02/1995,,1280 m,,On Celmisia armstrongii,,,,Pinned,
LUNZ00001382,Colanagocon,Anagotus,oconnori,(Broun),"Murchison Mountains, lower East McKenzie Burn",FD,-45.23154,167.47358,R.M. Emberson,4/12/1983,8/10/1983,1170 m,,On Aciphylla nivicola [species name not valid] ,,,,Pinned,
LUNZ00001307,Colanagrugo,Anagotus,rugosus,(Broun),"Maud Island, Main Bush",SD,-41.02318,173.89178,M.H. Bowie,5/04/1995,,,,On Coprosmatree bark at night,,,,Pinned,
LUNZ00001316,Colanagrugo,Anagotus,rugosus,(Broun),"Maud Island, Main Bush",SD,-41.02318,173.89178,M.H. Bowie,5/04/1995,,,,On Coprosmatree bark at night,,,,Pinned,
LUNZ00001315,Colanagrugo,Anagotus,rugosus,(Broun),"Maud Island, Main Bush",SD,-41.02318,173.89178,M.H. Bowie,5/04/1995,,,,On Coprosmatree bark at night,,,,Pinned,
LUNZ00001314,Colanagrugo,Anagotus,rugosus,(Broun),"Maud Island, Main Bush",SD,-41.02318,173.89178,M.H. Bowie,5/04/1995,,,,On Coprosmatree bark at night,,,,Pinned,
LUNZ00001313,Colanagrugo,Anagotus,rugosus,(Broun),"Maud Island, Main Bush",SD,-41.02318,173.89178,M.H. Bowie,5/04/1995,,,,On Coprosmatree bark at night,,,,Pinned,
LUNZ00001312,Colanagrugo,Anagotus,rugosus,(Broun),"Maud Island, Main Bush",SD,-41.02318,173.89178,M.H. Bowie,5/04/1995,,,,On Coprosmatree bark at night,,,,Pinned,
LUNZ00001306,Colanagrugo,Anagotus,rugosus,(Broun),"South Stack, Paddock Rocks",SD,-40.92109,173.76205,J.W.M. Marris,16/02/1995,,,,Under rock,,,,Pinned,
LUNZ00001305,Colanagrugo,Anagotus,rugosus,(Broun),"South Stack, Paddock Rocks",SD,-40.92109,173.76205,J.W.M. Marris,16/02/1995,,,,Under rock,,,,Pinned,
LUNZ00001296,Colanagrugo,Anagotus,rugosus,(Broun),"South Stack, Paddock Rocks",SD,-40.92109,173.76205,J.W.M. Marris,16/02/1995,,,,Under rock,,,,Pinned,
LUNZ00001295,Colanagrugo,Anagotus,rugosus,(Broun),"South Stack, Paddock Rocks",SD,-40.92109,173.76205,J.W.M. Marris,16/02/1995,,,,Under rock,,,,Pinned,
LUNZ00001282,Colanagrugo,Anagotus,rugosus,(Broun),"South Stack, Paddock Rocks",SD,-40.92109,173.76205,B.W. Thomas,16/02/1995,,,,Under rocks,,,,Pinned,
LUNZ00001303,Colanagrugo,Anagotus,rugosus,(Broun),"Maud Island, Main Bush",SD,-41.02318,173.89178,M.H. Bowie,3/04/1995,,,,Tree trunks at night,,,,Pinned,
LUNZ00001294,Colanagrugo,Anagotus,rugosus,(Broun),"Maud Island, Main Bush",SD,-41.02318,173.89178,M.H. Bowie,3/04/1995,,,,On Coprosma at night,,,,Pinned,
LUNZ00001293,Colanagrugo,Anagotus,rugosus,(Broun),"Trio Islands, Middle Trio Island (Kuru Pongi)",SD,-40.83812,173.99915,J.W.M. Marris,13/02/1995,,,,"Tree trunks at night, Coprosma forest",,,,Pinned,
LUNZ00001302,Colanagrugo,Anagotus,rugosus,(Broun),Outer Chetwode Island (Te Kakaho) ,SD,-40.89317,174.1055,M.H. Bowie,15/02/1988,,,,Coprosma repensat night,,,,Pinned,
LUNZ00001311,Colanagrugo,Anagotus,rugosus,(Broun),Outer Chetwode Island (Te Kakaho) ,SD,-40.89317,174.1055,M.H. Bowie,15/02/1988,,,,Coprosma repensat night,,,,Pinned,
LUNZ00001301,Colanagrugo,Anagotus,rugosus,(Broun),Outer Chetwode Island (Te Kakaho) ,SD,-40.89317,174.1055,M.H. Bowie,15/02/1988,,,,Coprosma repensat night,,,,Pinned,
LUNZ00001304,Colanagrugo,Anagotus,rugosus,(Broun),Outer Chetwode Island (Te Kakaho) ,SD,-40.89317,174.1055,M.H. Bowie,12/02/1988,,,,Coprosma repens at night,,,,Pinned,
LUNZ00001283,Colanagrugo,Anagotus,rugosus,(Broun),Outer Chetwode Island (Te Kakaho) ,SD,-40.89317,174.1055,M.H. Bowie,15/02/1988,,,,On flax heads at night ,,,,Pinned,
LUNZ00001292,Colanagrugo,Anagotus,rugosus,(Broun),Outer Chetwode Island (Te Kakaho) ,SD,-40.89317,174.1055,M.H. Bowie,15/02/1988,,,,On flax heads at night ,,,,Pinned,
LUNZ00001291,Colanagrugo,Anagotus,rugosus,(Broun),"Chetwode Islands, The Haystack",SD,-40.90681,174.09148,J.W.M. Marris,15/11/1994,,,,Under rock,,,,Pinned,
LUNZ00001281,Colanagrugo,Anagotus,rugosus,(Broun),"Maud Island, Main Bush",SD,-41.02318,173.89178,J.W.M. Marris,3/04/1995,,,,"On tree trunk at night, mixed broadleaf coastal forest",,,,Pinned,
LUNZ00001330,Colanagrugo,Anagotus,rugosus,(Broun),Sentinel Rock,SD,-40.88179,174.14097,J.W.M. Marris,14/02/1995,,,,Under rocks in scrub,,,,Pinned,
LUNZ00001329,Colanagrugo,Anagotus,rugosus,(Broun),Stephens Island,SD,-40.67063,173.9958,S.M. Pawson,13/03/2002,,,,Ex Myoporum laetum,,,,Pinned,
LUNZ00001328,Colanagrugo,Anagotus,rugosus,(Broun),Stephens Island,SD,-40.67063,173.9958,S.M. Pawson,13/03/2002,,,,Ex Myoporum laetum,,,,Pinned,
LUNZ00001327,Colanagrugo,Anagotus,rugosus,(Broun),Stephens Island,SD,-40.67063,173.9958,S.M. Pawson,13/03/2002,,,,Ex Myoporum laetum,,,,Pinned,
LUNZ00001364,Colanagrugo,Anagotus,rugosus,(Broun),North Brother Island ,SD,-41.10291,174.44157,J.W.M. Marris,7/02/1993,,,,On Coprosma repens at night ,,,,Pinned,
LUNZ00001373,Colanagrugo,Anagotus,rugosus,(Broun),North Brother Island ,SD,-41.10291,174.44157,J.W.M. Marris,7/02/1993,,,,On Coprosma repens at night ,,,,Pinned,
LUNZ00001365,Colanagrugo,Anagotus,rugosus,(Broun),North Brother Island ,SD,-41.10291,174.44157,J.W.M. Marris,7/02/1993,,,,On Coprosma repens at night ,,,,Pinned,
LUNZ00001372,Colanagrugo,Anagotus,rugosus,(Broun),North Brother Island ,SD,-41.10291,174.44157,J.W.M. Marris,8/02/1993,,,,On Coprosma repens at night ,,,,Pinned,
LUNZ00001361,Colanagrugo,Anagotus,rugosus,(Broun),North Brother Island ,SD,-41.10291,174.44157,J.W.M. Marris,9/02/1993,,,,On Coprosma repens at night ,,,,Pinned,
LUNZ00001371,Colanagrugo,Anagotus,rugosus,(Broun),North Brother Island ,SD,-41.10291,174.44157,J.W.M. Marris,9/02/1993,,,,On Coprosma repens at night ,,,,Pinned,
