Institution,Barcode,Broun/label Number,Altitude,Location,NEIL_guess_coordinates,collection date,clean_date,year,Collector,Determinor,Determination,Accession Label,Taxa,Drawer Information,Type,Notes,neil_guess_accepted_name
NHMUK,NHMUK016119933,,,"Mt Hector, Tararua Range, N.I., N. Zealand","-40.95169, 175.28157",II.1921,Feb-21,1921,H. Hamilton,Det. G.A.K. Marshall.,,G.A.K. Marshall Coll. B.M. 1950-255,"Phaedropholus oconnori, Brn.",,,,Anagotus oconnori
NHMUK,NHMUK016119934,,,"Mt Hector, Tararua Range, N.I., N. Zealand","-40.95169, 175.28157",II.1921,Feb-21,1921,H. Hamilton,,,G.A.K. Marshall Coll. B.M. 1950-255,Phaedropholus oconnori (no label),,,,Anagotus oconnori
NHMUK,NHMUK016119935,,4500 ft.,Mt. Holdsworth,"-40.873448, 175.416899",10/01/1940,10/01/1940,1940,C. E. Clarke,,,New Zealand. // C.E. Clarke // Collection // B.M. 1957-24,"Phaedropholus oconnori, Br.",,,"Carded, data under card",Anagotus oconnori
NHMUK,NHMUK016119936,,,Mt. Denim,,1914,1914,1914,,,,New Zealand. // C.E. Clarke // Collection // B.M. 1957-24,Phaedropholus oconnori (no label),,,"Carded, data under card",Anagotus oconnori
NHMUK,NHMUK016119937,,4500 ft.,Mt. Holdsworth,"-40.873448, 175.416899",9/01/1940,9/01/1940,1940,C. E. Clarke,,,New Zealand. // C.E. Clarke // Collection // B.M. 1957-24,Phaedropholus oconnori (no label),,,"Carded, data under card",Anagotus oconnori
NHMUK,NHMUK016119938,,,"Mt. Quoin, Tararuas","-41.000507, 175.242598",19/10/1909,19/10/1909,1909,A.C. O'Connor,,,New Zealand. // C.E. Clarke // Collection // B.M. 1957-24,Phaedropholus oconnori (no label),,,"Carded, data under card",Anagotus oconnori
NHMUK,NHMUK016119939,,,"Mt. Quoin, Tararuas","-41.000507, 175.242598",9/10/1909,9/10/1909,1909,A.C. O'Connor,,,New Zealand. // C.E. Clarke // Collection // B.M. 1957-24,Phaedropholus oconnori,,,"Carded, data under card",Anagotus oconnori
NHMUK,NHMUK016119940,3135,,,,,,,,,,Sharp Coll. 1948-336,Phaedropholus oconnori,,,"Carded, female symbol, genitalia disected and carded below specimen card, ""147."" typewritten on paper and glued to both cards",Anagotus oconnori
NHMUK,NHMUK016119941,,,Stephens Is.,"-40.67069, 173.9983",Sept-16,Sept-16,1916,A.C. O'Connor,,,New Zealand. // C.E. Clarke // Collection // B.M. 1957-24,"Phaeophanus o'connori, Br.",,,,Anagotus stephenensis
NHMUK,NHMUK016119942,4206,,New Zealand,,,,,O'Connor,det C.H.C. Lyal 2000,Anagotus stephensensis Kuschel 1982,Sharp Coll. 1948-336,"Phaeophanus o'connori, Br.",,,"Carded, male symbol, genitalia disected and carded below specimen card, ""145."" typewritten on paper and glued to both cards",Anagotus stephenensis
NHMUK,NHMUK016119943,34,,"New Zealand, The Brothers","-41.113923, 174.432678",,,,Fide Sandager,,,Sharp Coll. 1905-313,Phaeophanus rugosus,,,,Anagotus rugosus
NHMUK,NHMUK016119944,1270,,New Zealand,,,,,G.V. Hudson,Det. G.A.K. Marshall.,"Phoxoteles graniger, Bru.",Pres. by Imp. Ins. Ent. B. M. 1946-59,,,,,
NHMUK,NHMUK016119945,1414,,,,,,,,,,Pascoe Coll. 93-60,"Phaeophanus rugosus, Br",,,,Anagotus rugosus
